kind,eventType,ref,scene,data
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8691] _id=6a9c8ff8485cab4c954010fc ts=2026-09-05T21:56:05.7470000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:05.7470000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8690] _id=6a9c8ff8485cab4c954010fe ts=2026-09-05T21:56:05.7470000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:05.7470000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8692] _id=6a9c8ff8485cab4c95401100 ts=2026-09-05T21:56:05.7470000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:05.7470000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8677] _id=6a9c8ff8485cab4c95401114 ts=2026-09-05T21:56:06.1460000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:06.1460000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8678] _id=6a9c8ff8485cab4c95401118 ts=2026-09-05T21:56:06.1460000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:06.1460000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8679] _id=6a9c8ff9485cab4c9540111a ts=2026-09-05T21:56:06.1460000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:06.1460000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8667] _id=6a9c8ff9485cab4c9540112a ts=2026-09-05T21:56:07.0790000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:07.0790000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8668] _id=6a9c8ff9485cab4c9540112c ts=2026-09-05T21:56:07.0790000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:07.0790000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8650] _id=6a9c8ffb485cab4c95401150 ts=2026-09-05T21:56:08.5450000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:08.5450000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8651] _id=6a9c8ffb485cab4c95401152 ts=2026-09-05T21:56:08.5450000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:08.5450000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8638] _id=6a9c8ffc485cab4c9540116a ts=2026-09-05T21:56:09.0490000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:09.0490000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8637] _id=6a9c8ffc485cab4c9540116c ts=2026-09-05T21:56:09.0490000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:09.0490000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8613] _id=6a9c8ffd485cab4c954011a0 ts=2026-09-05T21:56:10.6480000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:10.6480000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8614] _id=6a9c8ffd485cab4c954011a2 ts=2026-09-05T21:56:10.6480000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:10.6480000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8611] _id=6a9c8ffd485cab4c954011a4 ts=2026-09-05T21:56:10.6480000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:10.6480000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8579] _id=6a9c9000485cab4c954011e8 ts=2026-09-05T21:56:12.6170000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:12.6170000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8577] _id=6a9c9001485cab4c954011ee ts=2026-09-05T21:56:12.6170000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:12.6170000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8570] _id=6a9c9001485cab4c954011f2 ts=2026-09-05T21:56:12.6510000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:12.6510000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8572] _id=6a9c9001485cab4c954011f4 ts=2026-09-05T21:56:12.6510000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:12.6510000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8571] _id=6a9c9001485cab4c954011fa ts=2026-09-05T21:56:12.6510000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:12.6510000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8548] _id=6a9c9002485cab4c95401228 ts=2026-09-05T21:56:13.7500000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:13.7500000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8549] _id=6a9c9002485cab4c9540122a ts=2026-09-05T21:56:13.7500000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:13.7500000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8545] _id=6a9c9002485cab4c95401232 ts=2026-09-05T21:56:13.7500000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:13.7500000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8529] _id=6a9c9003485cab4c9540124a ts=2026-09-05T21:56:15.2170000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:15.2170000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8530] _id=6a9c9003485cab4c9540124c ts=2026-09-05T21:56:15.2170000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:15.2170000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8500] _id=6a9c9006485cab4c95401280 ts=2026-09-05T21:56:18.0530000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:18.0530000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8499] _id=6a9c9006485cab4c95401282 ts=2026-09-05T21:56:18.0530000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:18.0530000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8492] _id=6a9c9006485cab4c9540128c ts=2026-09-05T21:56:18.1520000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:18.1520000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8494] _id=6a9c9006485cab4c9540128e ts=2026-09-05T21:56:18.1520000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:18.1520000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8476] _id=6a9c900b485cab4c9540129e ts=2026-09-05T21:56:26.5540000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:26.5540000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8475] _id=6a9c900b485cab4c954012a0 ts=2026-09-05T21:56:26.5540000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:26.5540000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8477] _id=6a9c900b485cab4c954012a2 ts=2026-09-05T21:56:26.5540000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:26.5540000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8473] _id=6a9c900b485cab4c954012a8 ts=2026-09-05T21:56:26.5540000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:26.5540000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8478] _id=6a9c900b485cab4c954012aa ts=2026-09-05T21:56:26.5540000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:56:26.5540000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8459] _id=6a9c9045485cab4c954012bc ts=2026-09-05T21:57:25.5490000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:25.5490000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8455] _id=6a9c9045485cab4c954012be ts=2026-09-05T21:57:25.5490000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:25.5490000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8461] _id=6a9c9045485cab4c954012c0 ts=2026-09-05T21:57:25.5490000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:25.5490000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8457] _id=6a9c9046485cab4c954012c6 ts=2026-09-05T21:57:25.5490000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:25.5490000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8456] _id=6a9c9046485cab4c954012c8 ts=2026-09-05T21:57:25.5490000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:25.5490000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8443] _id=6a9c904a485cab4c954012de ts=2026-09-05T21:57:30.5820000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:30.5820000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8444] _id=6a9c904a485cab4c954012e2 ts=2026-09-05T21:57:30.5820000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:30.5820000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8445] _id=6a9c904a485cab4c954012e4 ts=2026-09-05T21:57:30.5820000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:30.5820000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8427] _id=6a9c904c485cab4c95401304 ts=2026-09-05T21:57:31.9840000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:31.9840000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8425] _id=6a9c904c485cab4c95401306 ts=2026-09-05T21:57:31.9840000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:31.9840000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8428] _id=6a9c904c485cab4c95401308 ts=2026-09-05T21:57:31.9840000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:31.9840000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8426] _id=6a9c904d485cab4c9540130c ts=2026-09-05T21:57:31.9840000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:31.9840000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8350] _id=6a9c9054485cab4c954013a4 ts=2026-09-05T21:57:37.9170000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:37.9170000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8352] _id=6a9c9054485cab4c954013a6 ts=2026-09-05T21:57:37.9170000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:37.9170000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8349] _id=6a9c9054485cab4c954013aa ts=2026-09-05T21:57:37.9170000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:37.9170000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8335] _id=6a9c9055485cab4c954013c4 ts=2026-09-05T21:57:39.1850000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:39.1850000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8334] _id=6a9c9055485cab4c954013c6 ts=2026-09-05T21:57:39.1850000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:39.1850000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8299] _id=6a9c9059485cab4c95401408 ts=2026-09-05T21:57:42.9860000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:42.9860000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8301] _id=6a9c9059485cab4c9540140a ts=2026-09-05T21:57:42.9860000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:42.9860000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8294] _id=6a9c9059485cab4c95401416 ts=2026-09-05T21:57:43.2520000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:43.2520000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8293] _id=6a9c9059485cab4c95401418 ts=2026-09-05T21:57:43.2520000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:43.2520000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8261] _id=6a9c905b485cab4c95401454 ts=2026-09-05T21:57:45.0890000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:45.0890000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8262] _id=6a9c905b485cab4c95401458 ts=2026-09-05T21:57:45.0890000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:45.0890000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8263] _id=6a9c905b485cab4c9540145a ts=2026-09-05T21:57:45.0890000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:45.0890000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8227] _id=6a9c905e485cab4c954014a6 ts=2026-09-05T21:57:47.0890000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:47.0890000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8226] _id=6a9c905e485cab4c954014aa ts=2026-09-05T21:57:47.0890000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:47.0890000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8225] _id=6a9c905e485cab4c954014ac ts=2026-09-05T21:57:47.0890000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:47.0890000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8213] _id=6a9c905f485cab4c954014c0 ts=2026-09-05T21:57:47.9200000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:47.9200000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8215] _id=6a9c905f485cab4c954014c8 ts=2026-09-05T21:57:47.9200000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:47.9200000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8212] _id=6a9c905f485cab4c954014ca ts=2026-09-05T21:57:47.9200000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:47.9200000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8195] _id=6a9c9060485cab4c954014e0 ts=2026-09-05T21:57:48.7900000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:48.7900000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8194] _id=6a9c9060485cab4c954014e2 ts=2026-09-05T21:57:48.7900000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:48.7900000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8192] _id=6a9c9060485cab4c954014e6 ts=2026-09-05T21:57:48.7900000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:48.7900000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8197] _id=6a9c9060485cab4c954014ea ts=2026-09-05T21:57:48.7900000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:48.7900000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8196] _id=6a9c9060485cab4c954014ec ts=2026-09-05T21:57:48.7900000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:48.7900000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8143] _id=6a9c9063485cab4c9540153c ts=2026-09-05T21:57:53.0240000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:53.0240000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8144] _id=6a9c9063485cab4c95401544 ts=2026-09-05T21:57:53.0240000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:53.0240000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8142] _id=6a9c9064485cab4c9540154a ts=2026-09-05T21:57:53.0570000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:53.0570000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8138] _id=6a9c9064485cab4c9540154e ts=2026-09-05T21:57:53.0570000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:53.0570000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8124] _id=6a9c9066485cab4c95401564 ts=2026-09-05T21:57:54.0240000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:54.0240000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8126] _id=6a9c9066485cab4c9540156c ts=2026-09-05T21:57:54.0240000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:54.0240000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8123] _id=6a9c9066485cab4c9540156e ts=2026-09-05T21:57:54.0240000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:54.0240000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8127] _id=6a9c9066485cab4c95401570 ts=2026-09-05T21:57:54.0240000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:57:54.0240000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8103] _id=6a9c906b485cab4c95401594 ts=2026-09-05T21:58:02.0940000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:02.0940000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8102] _id=6a9c906b485cab4c95401596 ts=2026-09-05T21:58:02.0940000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:02.0940000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8098] _id=6a9c906b485cab4c9540159e ts=2026-09-05T21:58:02.3960000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:02.3960000Z""}"
