eventKey,kind,count,eventTypes,scenes,first_ts,last_ts,example_id,example_src
DialogueNodeEvent:20:50,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:15.6780000Z,2026-08-31T23:32:15.6780000Z,6a960eff485cab4c953db769,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:55,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:16.3620000Z,2026-08-31T23:32:16.3620000Z,6a960f00485cab4c953db76b,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:57,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:18.1120000Z,2026-08-31T23:32:18.1120000Z,6a960f01485cab4c953db76d,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:6,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:14:52.8640000Z,2026-08-31T23:14:52.8640000Z,6a960aec485cab4c953dabb1,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:62,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:18.8820000Z,2026-08-31T23:32:18.8820000Z,6a960f02485cab4c953db771,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:63,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:19.2140000Z,2026-08-31T23:32:19.2140000Z,6a960f03485cab4c953db775,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:64,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:42.1750000Z,2026-08-31T23:32:42.1750000Z,6a960f1a485cab4c953db7d1,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:65,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:42.6080000Z,2026-08-31T23:32:42.6080000Z,6a960f1a485cab4c953db7d3,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:66,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:43.0410000Z,2026-08-31T23:32:43.0410000Z,6a960f1a485cab4c953db7d5,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:67,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:43.4410000Z,2026-08-31T23:32:43.4410000Z,6a960f1b485cab4c953db7d9,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:68,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:43.8420000Z,2026-08-31T23:32:43.8420000Z,6a960f1b485cab4c953db7db,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:69,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:44.2920000Z,2026-08-31T23:32:44.2920000Z,6a960f1c485cab4c953db7dd,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:70,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:44.7250000Z,2026-08-31T23:32:44.7250000Z,6a960f1c485cab4c953db7df,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:71,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:46.4590000Z,2026-08-31T23:32:46.4590000Z,6a960f1e485cab4c953db7e1,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:73,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:47.0760000Z,2026-08-31T23:32:47.0760000Z,6a960f1e485cab4c953db7e3,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:74,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:49.3770000Z,2026-08-31T23:32:49.3770000Z,6a960f21485cab4c953db7e5,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:76,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:32:50.0030000Z,2026-08-31T23:32:50.0030000Z,6a960f21485cab4c953db7e9,wenyi083126-1.stratalog.logdata.json
DialogueNodeEvent:20:8,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-31T23:14:53.6310000Z,2026-08-31T23:14:53.6310000Z,6a960aed485cab4c953dabb3,wenyi083126-1.stratalog.logdata.json
