eventType,sceneName,record_count,first_timestamp,last_timestamp,span_in_scene
PlayerPositionEvent,Unit 5 Dev - Dungeon,76,2026-08-13T16:56:09.418000+00:00,2026-08-13T17:08:58.669000+00:00,12m 49s
PuzzlePieceVisibleEvent,Unit 2 Prod (Refactor),2,2026-08-13T15:49:44.911000+00:00,2026-08-13T15:49:45.043000+00:00,0.1s
PuzzlePieceVisibleEvent,Unit 3 Dungeon Dev,104,2026-08-13T16:07:38.254000+00:00,2026-08-13T16:11:20.345000+00:00,3m 42s
PuzzlePieceVisibleEvent,Unit 4 Dev,240,2026-08-13T16:29:34.875000+00:00,2026-08-13T16:38:28.324000+00:00,8m 53s
Soil Key Puzzle,Unit 3 Dev,12,2026-08-13T16:07:21.052000+00:00,2026-08-13T16:07:32.373000+00:00,11.3s
Soil Key Puzzle,Unit 4 Dev,14,2026-08-13T16:28:36.381000+00:00,2026-08-13T16:28:52.222000+00:00,15.8s
TerasGardenBox,Unit 4 Dev,6,2026-08-13T16:46:09.074000+00:00,2026-08-13T16:46:45.408000+00:00,36.3s
TopographicMapEvent,Unit 1 Dev,5,2026-08-13T15:43:26.071000+00:00,2026-08-13T15:46:56.883000+00:00,3m 30s
TopographicMapEvent,Unit 3 Dev,26,2026-08-13T15:55:04.610000+00:00,2026-08-13T16:20:14.212000+00:00,25m 9s
WaterChamberEvent,Unit 5 Dev - Dungeon,21,2026-08-13T17:00:12.192000+00:00,2026-08-13T17:08:23.770000+00:00,8m 11s
argumentationAnswerEvent,Unit 1 Dev,2,2026-08-13T15:40:37.808000+00:00,2026-08-13T15:41:04.520000+00:00,26.7s
argumentationAnswerEvent,Unit 3 Dev,1,2026-08-13T16:04:44.661000+00:00,2026-08-13T16:04:44.661000+00:00,0.0s
argumentationAnswerEvent,Unit 4 Dev - Anderson Base,1,2026-08-13T16:43:43.405000+00:00,2026-08-13T16:43:43.405000+00:00,0.0s
argumentationAnswerEvent,Unit 5 Dev,1,2026-08-13T17:12:45.876000+00:00,2026-08-13T17:12:45.876000+00:00,0.0s
argumentationEvent,Unit 1 Dev,4,2026-08-13T15:40:23.902000+00:00,2026-08-13T15:41:04.523000+00:00,40.6s
argumentationEvent,Unit 3 Dev,3,2026-08-13T16:03:22.541000+00:00,2026-08-13T16:04:44.678000+00:00,1m 22s
argumentationEvent,Unit 4 Dev - Anderson Base,3,2026-08-13T16:42:39.276000+00:00,2026-08-13T16:43:43.422000+00:00,1m 4s
argumentationEvent,Unit 5 Dev,2,2026-08-13T17:11:32.659000+00:00,2026-08-13T17:12:45.882000+00:00,1m 13s
argumentationNodeEvent,Unit 1 Dev,26,2026-08-13T15:40:26.337000+00:00,2026-08-13T15:41:01.619000+00:00,35.3s
argumentationNodeEvent,Unit 3 Dev,45,2026-08-13T16:03:35.546000+00:00,2026-08-13T16:22:02.045000+00:00,18m 26s
argumentationNodeEvent,Unit 4 Dev - Anderson Base,33,2026-08-13T16:42:40.592000+00:00,2026-08-13T16:43:25.080000+00:00,44.5s
argumentationNodeEvent,Unit 5 Dev,44,2026-08-13T17:11:36.910000+00:00,2026-08-13T17:12:41.390000+00:00,1m 4s
argumentationNodeEvent,Unit 5 Dev - Dungeon,6,2026-08-13T17:02:25.318000+00:00,2026-08-13T17:02:26.167000+00:00,0.8s
argumentationToolEvent,Unit 1 Dev,3,2026-08-13T15:40:22.468000+00:00,2026-08-13T15:41:02.919000+00:00,40.5s
argumentationToolEvent,Unit 3 Dev,6,2026-08-13T16:03:24.341000+00:00,2026-08-13T16:04:41.760000+00:00,1m 17s
argumentationToolEvent,Unit 5 Dev,5,2026-08-13T17:11:33.877000+00:00,2026-08-13T17:12:45.809000+00:00,1m 11s
chatEvent,Unit 1 Dev,16,2026-08-13T15:44:15.812000+00:00,2026-08-13T15:46:48.464000+00:00,2m 32s
chatEvent,Unit 5 Dev - Dungeon,16,2026-08-13T17:02:35.475000+00:00,2026-08-13T17:02:44.910000+00:00,9.4s
gameStartEvent,MainMenu,5,2026-08-13T15:29:38.853000+00:00,2026-08-13T16:55:31.496000+00:00,1h 25m
gameWindowFocusEvent,Transition,1,2026-08-13T16:44:16.192000+00:00,2026-08-13T16:44:16.192000+00:00,0.0s
gameWindowFocusEvent,Unit 1 Dev,9,2026-08-13T15:30:13.387000+00:00,2026-08-13T15:46:47.616000+00:00,16m 34s
gameWindowFocusEvent,Unit 2 Prod (Refactor),1,2026-08-13T15:51:22.682000+00:00,2026-08-13T15:51:22.682000+00:00,0.0s
gameWindowFocusEvent,Unit 3 Dev,5,2026-08-13T15:54:08.707000+00:00,2026-08-13T16:22:27.482000+00:00,28m 18s
gameWindowFocusEvent,Unit 3 Dungeon Dev,3,2026-08-13T16:08:09.397000+00:00,2026-08-13T16:15:48.759000+00:00,7m 39s
gameWindowFocusEvent,Unit 4 Dev,6,2026-08-13T16:27:28.859000+00:00,2026-08-13T16:45:30.105000+00:00,18m 1s
gameWindowFocusEvent,Unit 4 Dev - Dungeon,2,2026-08-13T16:30:53.422000+00:00,2026-08-13T16:30:54.031000+00:00,0.6s
gameWindowFocusEvent,Unit 5 Dev - Dungeon,2,2026-08-13T16:58:47.060000+00:00,2026-08-13T16:59:45.307000+00:00,58.2s
gameWindowUnfocusEvent,Transition,1,2026-08-13T16:52:56.609000+00:00,2026-08-13T16:52:56.609000+00:00,0.0s
gameWindowUnfocusEvent,Unit 1 Dev,10,2026-08-13T15:29:54.228000+00:00,2026-08-13T15:47:02.501000+00:00,17m 8s
gameWindowUnfocusEvent,Unit 2 Prod (Refactor),1,2026-08-13T15:50:37.579000+00:00,2026-08-13T15:50:37.579000+00:00,0.0s
gameWindowUnfocusEvent,Unit 3 Dev,5,2026-08-13T15:53:08.791000+00:00,2026-08-13T16:22:04.452000+00:00,28m 55s
gameWindowUnfocusEvent,Unit 3 Dungeon Dev,3,2026-08-13T16:07:55.682000+00:00,2026-08-13T16:15:23.636000+00:00,7m 27s
gameWindowUnfocusEvent,Unit 4 Dev,6,2026-08-13T16:27:27.108000+00:00,2026-08-13T16:45:28.847000+00:00,18m 1s
gameWindowUnfocusEvent,Unit 4 Dev - Anderson Base,1,2026-08-13T16:44:08.240000+00:00,2026-08-13T16:44:08.240000+00:00,0.0s
gameWindowUnfocusEvent,Unit 4 Dev - Dungeon,2,2026-08-13T16:30:12.865000+00:00,2026-08-13T16:30:53.967000+00:00,41.1s
gameWindowUnfocusEvent,Unit 5 Dev - Dungeon,2,2026-08-13T16:56:58.892000+00:00,2026-08-13T16:59:17.885000+00:00,2m 18s
questEvent,Unit 1 Dev,11,2026-08-13T15:30:02.351000+00:00,2026-08-13T15:41:26.031000+00:00,11m 23s
questEvent,Unit 2 Prod (Refactor),1,2026-08-13T15:49:05.042000+00:00,2026-08-13T15:49:05.042000+00:00,0.0s
questEvent,Unit 3 Dev,9,2026-08-13T15:54:15.987000+00:00,2026-08-13T16:20:54.547000+00:00,26m 38s
questEvent,Unit 3 Dungeon Dev,2,2026-08-13T16:08:12.591000+00:00,2026-08-13T16:16:29.359000+00:00,8m 16s
questEvent,Unit 4 Dev,8,2026-08-13T16:27:39.087000+00:00,2026-08-13T16:52:48.362000+00:00,25m 9s
questEvent,Unit 4 Dev - Anderson Base,2,2026-08-13T16:40:22.394000+00:00,2026-08-13T16:43:48.558000+00:00,3m 26s
questEvent,Unit 4 Dev - Dungeon,9,2026-08-13T16:30:58.198000+00:00,2026-08-13T16:36:08.394000+00:00,5m 10s
questEvent,Unit 5 Dev,7,2026-08-13T17:09:57.730000+00:00,2026-08-13T17:19:35.203000+00:00,9m 37s
questEvent,Unit 5 Dev - Dungeon,7,2026-08-13T16:56:09.415000+00:00,2026-08-13T17:06:37.473000+00:00,10m 28s
soilMachine,Unit 4 Dev - Dungeon,5,2026-08-13T16:34:31.880000+00:00,2026-08-13T16:37:05.969000+00:00,2m 34s
