eventKey,kind,count,eventTypes,scenes,first_ts,last_ts,example_id,example_src
DialogueNodeEvent:82:101,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:37:38.7060000Z,2026-08-25T18:37:38.7060000Z,6a8de0f1485cab4c953c208a,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:102,dialogue,2,DialogueEvent,Unit 4 Dev,2026-08-25T18:37:39.1400000Z,2026-08-25T18:37:39.6750000Z,6a8de0f2485cab4c953c208c,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:104,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:37:39.5750000Z,2026-08-25T18:37:39.5750000Z,6a8de0f2485cab4c953c208e,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:106,dialogue,1,DialogueEvent,Unit 4 Dev - Anderson Base,2026-08-25T18:30:24.4010000Z,2026-08-25T18:30:24.4010000Z,6a8ddf3f485cab4c953c1faa,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:12,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:19.8110000Z,2026-08-25T18:27:19.8110000Z,6a8dde86485cab4c953c1e90,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:14,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:19.9790000Z,2026-08-25T18:27:19.9790000Z,6a8dde87485cab4c953c1e92,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:15,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:25:56.1890000Z,2026-08-25T18:25:56.1890000Z,6a8dde33485cab4c953c1dda,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:16,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:25:56.6050000Z,2026-08-25T18:25:56.6050000Z,6a8dde33485cab4c953c1ddc,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:17,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:25:57.0720000Z,2026-08-25T18:25:57.0720000Z,6a8dde34485cab4c953c1dde,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:18,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:25:59.4220000Z,2026-08-25T18:25:59.4220000Z,6a8dde36485cab4c953c1de0,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:20,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:26:00.0900000Z,2026-08-25T18:26:00.0900000Z,6a8dde37485cab4c953c1de2,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:22,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:26:01.3230000Z,2026-08-25T18:26:01.3230000Z,6a8dde38485cab4c953c1de4,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:24,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:26:02.1090000Z,2026-08-25T18:26:02.1090000Z,6a8dde39485cab4c953c1de8,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:26,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:33.8710000Z,2026-08-25T18:27:33.8710000Z,6a8dde95485cab4c953c1ea6,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:27,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:35.1350000Z,2026-08-25T18:27:35.1350000Z,6a8dde96485cab4c953c1ea8,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:28,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:35.5530000Z,2026-08-25T18:27:35.5530000Z,6a8dde96485cab4c953c1eaa,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:29,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:50.9790000Z,2026-08-25T18:27:50.9790000Z,6a8ddea6485cab4c953c1ebe,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:3,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:13.6410000Z,2026-08-25T18:27:13.6410000Z,6a8dde80485cab4c953c1e82,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:30,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:51.9930000Z,2026-08-25T18:27:51.9930000Z,6a8ddea7485cab4c953c1ec0,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:31,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:52.3930000Z,2026-08-25T18:27:52.3930000Z,6a8ddea7485cab4c953c1ec2,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:32,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:52.8770000Z,2026-08-25T18:27:52.8770000Z,6a8ddea7485cab4c953c1ec4,wenyi082526-1.stratalog.logdata.json
