eventKey,kind,count,eventTypes,scenes,first_ts,last_ts,example_id,example_src
DialogueNodeEvent:18:150,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:07:18.4020000Z,2026-09-05T22:07:18.4020000Z,6a9c9296485cab4c95401a7e,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:151,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:07:21.7030000Z,2026-09-05T22:07:21.7030000Z,6a9c9299485cab4c95401a84,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:153,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:07:22.4070000Z,2026-09-05T22:07:22.4070000Z,6a9c929a485cab4c95401a86,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:154,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:07:32.9280000Z,2026-09-05T22:07:32.9280000Z,6a9c92a4485cab4c95401aaa,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:155,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:07:33.9260000Z,2026-09-05T22:07:33.9260000Z,6a9c92a5485cab4c95401aae,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:156,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:07:35.4930000Z,2026-09-05T22:07:35.4930000Z,6a9c92a7485cab4c95401ab0,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:158,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:07:37.2960000Z,2026-09-05T22:07:37.2960000Z,6a9c92a9485cab4c95401ab2,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:159,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:11.7740000Z,2026-09-05T22:08:11.7740000Z,6a9c92cb485cab4c95401af4,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:160,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:14.2090000Z,2026-09-05T22:08:14.2090000Z,6a9c92ce485cab4c95401af8,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:162,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:18.7780000Z,2026-09-05T22:08:18.7780000Z,6a9c92d2485cab4c95401afa,wenyi090326-3.stratalog.logdata.json
